"property_type","room_type","name","host_name","neighbourhood","host_identity_verified","city","latitude","longitude","accommodates","bathrooms","bedrooms","price","number_of_reviews","review_scores_rating","cancellation_policy"
"Apartment","Entire home/apt","Sunny & Spacious Chelsea Apartment","Petra","Chelsea","t","New York",40.74623,-73.9953,4,2,2,375,5,100,"strict_14_with_grace_period"
"Condominium","Entire home/apt","Light-filled 2B duplex in the heart of Park Slope!","Sara","Brooklyn","t","Brooklyn",40.67343,-73.98338,4,2,2,225,4,100,"moderate"
"Apartment","Private room","Upper Manhattan, New York","Elliott","Manhattan","t","New York",40.82803,-73.94731,1,1,1,89,3,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Sun-drenched, artsy modernist 1 BDRM duplex","Elisabeth","Brooklyn","t","Brooklyn",40.71561,-73.94835,3,1.5,1,199,10,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Light filled Williamsburg Apartment","Katherine","Brooklyn","t","Brooklyn",40.71596,-73.93938,2,1,1,160,14,100,"strict_14_with_grace_period"
"Townhouse","Private room","Sunny Room in Old Historical Brooklyn Townhouse","Obed","Brooklyn","t","Brooklyn",40.69101,-73.97312,2,2,1,44,28,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Charming & Cozy midtown loft any WEEK ENDS  !!!","Sylvia","Upper East Side","t","New York",40.76123,-73.9642,1,1,1,250,4,100,"flexible"
"Apartment","Entire home/apt","Nice, clean, safe, convenient 3BR","Mark","Ridgewood","t","Queens",40.70411,-73.89934,9,1,3,145,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Bright and spacious, garden below!","Rachel","Upper West Side","t","New York",40.80021,-73.96071,6,1,3,195,4,100,"strict_14_with_grace_period"
"Apartment","Private room","HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM","Paula","Manhattan","t","New York",40.86648,-73.9263,2,1,1,75,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Beautiful 1 Bedroom Apt Park Slope","Jessica","Park Slope","t","Brooklyn",40.67319,-73.97323,2,1,1,175,11,100,"strict_14_with_grace_period"
"Loft","Entire home/apt","Gigantic Private Brooklyn Loft!","Ben","Greenpoint","t","Brooklyn",40.72898,-73.95552,4,1,1,229,50,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Food & Music Dream Apartment in Williamsburg","Daniel","Brooklyn","t","Brooklyn",40.71015,-73.96101,4,1,1,195,88,100,"strict_14_with_grace_period"
"Boutique hotel","Hotel room","Duplex w/ Terrace @ Box House Hotel","The Box House Hotel","Greenpoint","t","Brooklyn",40.73776,-73.95327,4,1,1,349,8,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Lovely 1BR in Tree-lined WBurg","Tessa","Brooklyn","t","Brooklyn",40.71055,-73.95098,2,1,1,140,13,100,"strict_14_with_grace_period"
"Condominium","Private room","The Brooklyn Waverly, One Bedroom","Sahr","Clinton Hill","t","Brooklyn",40.68413,-73.96542,5,1.5,1,165,13,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Sunny Bklyn Jewel  Fort Greene DEC  - FEB 2020","Wanda","Brooklyn","t","Brooklyn",40.68795,-73.97332,2,1,0,123,15,100,"strict_14_with_grace_period"
"Apartment","Private room","Cozy Private Room in West Harlem!","Kelli","Harlem","t","New York",40.8054,-73.95189,2,1,1,90,1,100,"flexible"
"Apartment","Entire home/apt","Lower East Side 2 Bed Apt.","Peter","Manhattan","t","New York",40.72008,-73.98404,4,1,3,250,27,100,"moderate"
"Apartment","Entire home/apt","Nice, cozy, neat apt Greenpoint,BK","Lennny & Megan","Brooklyn","t","Brooklyn",40.72489,-73.95494,2,1,1,130,4,100,"strict_14_with_grace_period"
"House","Entire home/apt","Amazing Brownstone in Best Brooklyn","Smadar","Brooklyn","t","Brooklyn",40.6809,-73.99233,10,2.5,4,500,7,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Spacious modern studio apartment in Manhattan","Daniel","Chelsea","t","New York",40.74342,-73.99483,2,1,1,205,3,100,"moderate"
"House","Entire home/apt","Gorgeous Duplex + Garden","Adam","Park Slope","t","Brooklyn",40.67853,-73.98089,4,2,2,219,2,100,"strict_14_with_grace_period"
"Apartment","Private room","Fort Greene, Brooklyn: Back Bedroom","Doug","Brooklyn","t","Brooklyn",40.68882,-73.97631,2,1.5,1,85,13,100,"strict_14_with_grace_period"
"Apartment","Private room","TURQUOISE: One-Bedroom Apt. in Soho","Roberto","Manhattan","t","New York",40.72599,-74.00168,3,1,1,270,2,100,"moderate"
"Apartment","Entire home/apt","Spacious & Charming by Prospect Pk","Todd","Lefferts Garden","t","Brooklyn",40.66068,-73.96003,2,1,1,80,6,100,"strict_14_with_grace_period"
"Condominium","Private room","The Lenox in Harlem","Yvette","Harlem","t","New York",40.81068,-73.94288,2,1,1,125,11,100,"flexible"
"Boutique hotel","Private room","Duplex w/ Terrace @ Box House Hotel","The Box House Hotel","Brooklyn","t","Brooklyn",40.73674,-73.95247,4,1,1,349,8,100,"strict_14_with_grace_period"
"Boutique hotel","Private room","Loft w/ Terrace @ Box House Hotel","The Box House Hotel","Brooklyn","t","Brooklyn",40.73783,-73.95259,4,1,1,249,4,100,"strict_14_with_grace_period"
"Boutique hotel","Private room","2 BR Duplex @ Box House Hotel","The Box House Hotel","Brooklyn","t","Brooklyn",40.73793,-73.95316,6,1,2,599,7,100,"strict_14_with_grace_period"
